school_id,district,school,total_actively_enrolled_students,gender_female,gender_male,gender_missing,black_or_african_american,white,pupils_in_poverty,year,all_other_races
4603033,York 03,"Sunset Park Center for Accelerated 
Studies",414,190,224,0,222,134,272,2021,58
4603035,York 03,York Road Elem,411,191,220,0,242,115,314,2021,54
4603036,York 03,Independence Elem,469,245,224,0,165,185,325,2021,119
4603037,York 03,Mt Gallant Elem,439,228,211,0,159,219,249,2021,61
4603038,York 03,Saluda Trail Middle,868,398,470,0,450,314,554,2021,104
4603039,York 03,India Hook Elem,549,272,277,0,134,300,277,2021,115
4603040,York 03,Old Pointe Elem,463,230,233,0,203,200,246,2021,60
4603041,York 03,South Pointe High,1276,625,651,0,669,480,754,2021,127
4603042,York 03,Dutchman Creek Middle,939,454,485,0,346,434,506,2021,159
4603043,York 03,Mount Holly Elementary,416,199,217,0,141,208,286,2021,67
4603044,York 03,"Cherry Park School of Language 
Immersion",728,379,349,0,139,442,240,2021,147
4603602,York 03,"Palmetto School-Children's 
Attention Home",36,17,19,0,33,0,36,2021,3
4603800,York 03,Central Child Development Ctr,209,88,121,0,86,84,169,2021,39
4604036,York 04,Ft Mill High,1926,968,958,0,178,1463,365,2021,285
4604037,York 04,Ft Mill Middle,847,419,428,0,135,518,224,2021,194
4604042,York 04,Riverview Elem,581,278,303,0,73,363,237,2021,145
4604043,York 04,Ft Mill Elem,784,383,401,0,112,504,227,2021,168
4604048,York 04,Gold Hill Elem,850,418,432,0,98,376,173,2021,376
4604049,York 04,Gold Hill Middle,812,390,422,0,62,558,135,2021,192
4604051,York 04,Orchard Park Elem,586,288,298,0,19,502,65,2021,65
4604052,York 04,Springfield Elem,807,404,403,0,124,408,265,2021,275
4604053,York 04,Springfield Middle,700,355,345,0,108,339,240,2021,253
4604054,York 04,Nation Ford High,1683,814,869,0,248,1022,430,2021,413
4604055,York 04,Pleasant Knoll Elementary,847,392,455,0,80,471,122,2021,296
4604056,York 04,Sugar Creek Elementary,763,375,388,0,88,326,254,2021,349
4604057,York 04,Banks Trail Middle,871,429,442,0,116,607,174,2021,148
4604058,York 04,Tega Cay Elementary,725,341,384,0,24,569,123,2021,132
4604059,York 04,Doby's Bridge Elementary,676,305,371,0,33,514,60,2021,129
4604060,York 04,Pleasant Knoll Middle,900,446,454,0,71,643,120,2021,186
4604061,York 04,Catawba Ridge High School,1241,594,647,0,119,926,192,2021,196
4604062,York 04,River Trail Elementary,584,264,320,0,61,401,67,2021,122
4604063,York 04,Kings Town Elementary,747,396,351,0,81,479,137,2021,187
4701006,"SC Public Charter 
School District",Spartanburg Preparatory School,587,332,255,0,341,156,431,2021,89
4701010,"SC Public Charter 
School District",Palmetto Scholars Academy,497,243,254,0,88,310,132,2021,99
4701011,"SC Public Charter 
School District",York Preparatory Academy,1651,819,832,0,318,1167,631,2021,166
4701013,"SC Public Charter 
School District",East Pointe Academy,702,370,332,0,227,309,356,2021,166
4701014,"SC Public Charter 
School District",SC Whitmore School,415,237,178,0,54,301,173,2021,60
4701017,"SC Public Charter 
School District",Youth Leadership Academy Charter,190,87,103,0,3,172,66,2021,15
4701019,"SC Public Charter 
School District",Cape Romain Environ. Ed.,202,94,108,0,26,174,72,2021,2
4701020,"SC Public Charter 
School District",Fox Creek High,690,329,361,0,106,513,226,2021,71
4701021,"SC Public Charter 
School District",Midlands Middle College,85,52,33,0,21,53,38,2021,11
4701026,"SC Public Charter 
School District",GREEN Charter School,967,458,509,0,100,499,225,2021,368
4701027,"SC Public Charter 
School District",Bridges Preparatory School,1054,537,517,0,131,693,417,2021,230
4701029,"SC Public Charter 
School District","Pee Dee Math Science & Tech
Academy",197,99,98,0,143,43,161,2021,11
4701033,"SC Public Charter 
School District",Riverwalk Academy,550,273,277,0,79,408,278,2021,63
4701034,"SC Public Charter 
School District",High Point Academy,1209,625,584,0,212,811,685,2021,186
4701036,"SC Public Charter 
School District",Lead Academy,402,206,196,0,174,82,260,2021,146
4701037,"SC Public Charter 
School District",LowCountry Montessori School,326,168,158,0,47,249,164,2021,30
4701039,"SC Public Charter 
School District",NEXT High,309,143,166,0,23,264,165,2021,22
4701040,"SC Public Charter 
School District",Tall Pines STEM Academy,288,144,144,0,9,255,50,2021,24
4701042,"SC Public Charter 
School District",Felton Lab Charter School,359,187,172,0,333,2,268,2021,24
4701043,"SC Public Charter 
School District",Greenville Tech Charter Hi,444,212,232,0,59,276,103,2021,109
4701044,"SC Public Charter 
School District","GREEN Charter School of the
Midlands",266,145,121,0,102,109,146,2021,55
4701047,"SC Public Charter 
School District",Greer Middle College Charter High,499,262,237,0,16,431,78,2021,52
4701048,"SC Public Charter 
School District",Legacy Early College,1533,799,734,0,823,94,1296,2021,616
4701049,"SC Public Charter 
School District",Meyers Center for Special Children,92,36,56,0,13,61,85,2021,18
4701050,"SC Public Charter 
School District",East Link Academy,180,95,85,0,50,70,69,2021,60
4701051,"SC Public Charter 
School District","Bettis Preparatory Leadership
Academy",80,32,48,0,65,11,65,2021,4
4701053,"SC Public Charter 
School District",Polaris Tech Charter School,279,138,141,0,111,83,218,2021,85
4701054,"SC Public Charter 
School District",Lakes and Bridges Charter School,175,72,103,0,5,151,57,2021,19
4701055,"SC Public Charter 
School District","Charleston Advancement Academy
High School",440,206,234,0,206,161,294,2021,73
4701056,"SC Public Charter 
School District",Midlands Arts Conservatory,144,101,43,0,65,65,70,2021,14
4701057,"SC Public Charter 
School District","GREEN Charter School of 
Spartanburg",357,182,175,0,87,166,196,2021,104
4701058,"SC Public Charter 
School District",Renaissance Collegiate Academy,68,31,37,0,65,0,46,2021,3
4701060,"SC Public Charter 
School District",Butler Academy,197,86,111,0,108,63,147,2021,26
4801001,"Charter Institute at 
Erskine",Virtus Academy of South Carolina,499,258,241,0,126,345,313,2021,28
4801002,"Charter Institute at 
Erskine",Belton Preparatory Academy,127,78,49,0,7,114,58,2021,6
4801003,"Charter Institute at 
Erskine",The Montessori School of Camden,96,41,55,0,18,70,40,2021,8
4801004,"Charter Institute at 
Erskine","Royal Oaks Academy of the Arts 
and Sciences",638,317,321,0,170,117,507,2021,351
4801005,"Charter Institute at 
Erskine",Oceanside Collegiate Academy,661,300,361,0,43,564,88,2021,54
4801006,"Charter Institute at 
Erskine",Mevers School of Excellence,908,442,466,0,443,275,506,2021,190
4801007,"Charter Institute at 
Erskine",Gray Collegiate Academy,613,320,293,0,144,404,204,2021,65
4801008,"Charter Institute at 
Erskine",Coastal Leadership Academy,168,86,82,0,12,119,105,2021,37
4801009,"Charter Institute at 
Erskine",Midlands STEM Institute,178,88,90,0,46,120,129,2021,12
4801010,"Charter Institute at 
Erskine",Odyssey Online Learning,293,151,142,0,67,203,171,2021,23
4801011,"Charter Institute at 
Erskine",South Carolina Virtual Charter,4417,2361,2056,0,1059,2778,2493,2021,580
4801012,"Charter Institute at 
Erskine",Cyber Academy of South Carolina,4313,2170,2143,0,1199,2487,2962,2021,627
4801013,"Charter Institute at 
Erskine",Calhoun Falls Charter School,152,72,80,0,84,60,117,2021,8
4801014,"Charter Institute at 
Erskine",Clear Dot Charter,232,101,131,0,161,43,190,2021,28
4801015,"Charter Institute at 
Erskine",Thornwell Charter School,209,104,105,0,41,135,129,2021,33
4801016,"Charter Institute at 
Erskine",Legion Collegiate Academy,359,165,194,0,69,270,73,2021,20
4801017,"Charter Institute at 
Erskine",Summit Classical School,84,39,45,0,14,61,60,2021,9
4801018,"Charter Institute at 
Erskine",SC Connections Academy,6156,3244,2912,0,974,4275,3148,2021,907
4801019,"Charter Institute at 
Erskine","Lowcountry Leadership Charter 
School",518,260,258,0,68,401,241,2021,49
4801020,"Charter Institute at 
Erskine",Cherokee Charter School,400,174,226,0,104,284,261,2021,12
4801021,"Charter Institute at 
Erskine",Horse Creek Academy,805,383,422,0,141,578,416,2021,86
4801022,"Charter Institute at 
Erskine","Brashier Middle College Charter 
High",422,223,199,0,30,329,70,2021,63
5205003,"John De La Howe
L12","Governor's School for Agriculture
at John de la Howe",30,15,15,0,4,24,4,2021,2
5207005,SC School for the Deaf and the Blind,SC School For Blind High,28,13,15,0,12,13,23,2021,3
5207007,SC School for the Deaf and the Blind,SC School For Deaf High,24,10,14,0,9,9,20,2021,6
5207009,SC School for the Deaf and the Blind,SC School For Deaf Elem/Middle,40,20,20,0,18,13,35,2021,9
5207010,SC School for the Deaf and the Blind,SC School For Blind Elem/Middle,26,16,10,0,10,11,23,2021,5
5207011,SC School for the Deaf and the Blind,Cedar Springs Academy,58,26,32,0,26,20,54,2021,12
5208001,Department of Juvenile Justice,"The Palmetto Empowerment and 
Enrichment Academy",120,16,104,0,88,27,95,2021,4
5208002,Department of Juvenile Justice,"Empowerment and Enrichment 
Academy",73,7,66,0,60,8,70,2021,5
5208003,Department of Juvenile Justice,Evaluation & Detention Ctr,213,23,190,0,148,49,140,2021,15
5209003,"Department of Corrections
N04",Tyger River High,9,0,9,0,7,1,7,2021,1
5209005,"Department of Corrections
N04",Kirkland High,64,0,64,0,51,11,43,2021,2
5209006,"Department of Corrections
N04",MacDougall High,11,0,11,0,6,4,8,2021,1
5209009,"Department of Corrections
N04",Wateree River High,9,0,9,0,9,0,6,2021,0
5209011,"Department of Corrections
N04",Sara Babb High,11,11,0,0,3,7,9,2021,1
5209017,"Department of Corrections
N04",Allendale,13,0,13,0,10,3,11,2021,0
5209018,"Department of Corrections
N04",Broad River,7,0,7,0,5,1,2,2021,1
5209021,"Department of Corrections
N04",Lee High,19,0,19,0,17,2,14,2021,0
5209022,"Department of Corrections
N04",Trenton High,18,0,18,0,11,6,13,2021,1
5209023,"Department of Corrections
N04",Ridgeland High,21,0,21,0,16,4,19,2021,1
5209024,"Department of Corrections
N04",Turbeville High,93,0,93,0,70,18,76,2021,5
5364001,"Governor's School for 
the Arts and Humanities","Governor's School for 
the Arts and Humanities",226,145,81,0,31,149,46,2021,46
5395001,Governor's School for Science and Mathematics,Governor's School for Science and Mathematics,252,137,115,0,16,164,36,2021,72
0160001,Abbeville 60,Abbeville High,438,221,217,0,211,206,294,2020,21
0160003,Abbeville 60,Dixie High,432,212,220,0,40,376,231,2020,16
0160007,Abbeville 60,John C Calhoun Elem,177,79,98,0,106,47,155,2020,24
0160016,Abbeville 60,Wright Middle,385,173,212,0,185,180,284,2020,20
0160017,Abbeville 60,Westwood Elem,345,168,177,0,174,158,265,2020,13
0160018,Abbeville 60,Cherokee Trail Elem,448,203,245,0,56,381,285,2020,11
0160019,Abbeville 60,Diamond Hill Elem,333,169,164,0,33,296,226,2020,4
0160020,Abbeville 60,Long Cane Primary,398,180,218,0,215,170,323,2020,13
0201001,Aiken 01,Silver Bluff High,625,293,332,0,236,302,386,2020,87
0201002,Aiken 01,Aiken High,1256,655,601,0,552,571,728,2020,133
0201003,Aiken 01,South Aiken High,1400,660,740,0,355,795,610,2020,250
0201005,Aiken 01,Jefferson Elem,576,262,314,0,107,337,408,2020,132
0201006,Aiken 01,Midland Valley High,1224,582,642,0,303,697,756,2020,224
0201007,Aiken 01,Paul Knox Middle,803,390,413,0,244,440,436,2020,119
0201008,Aiken 01,Lang Bath Clrwtr Middle,651,310,341,0,105,400,461,2020,146
0201009,Aiken 01,Leavelle Mccampbell Middle,637,303,334,0,213,298,418,2020,126
0201010,Aiken 01,New Ellenton Middle,268,141,127,0,90,122,173,2020,56
0201011,Aiken 01,North Augusta Middle,629,296,333,0,193,284,313,2020,152
0201012,Aiken 01,North Augusta High,1510,724,786,0,458,798,655,2020,254
0201015,Aiken 01,Wagener-Salley High,271,134,137,0,127,131,196,2020,13
0201016,Aiken 01,Aiken Elem,692,307,385,0,331,282,451,2020,79
0201017,Aiken 01,M B Kennedy Middle,696,335,361,0,220,353,371,2020,123
0201019,Aiken 01,Belvedere Elem,627,315,312,0,154,363,390,2020,110
0201021,Aiken 01,Byrd Elem,580,279,301,0,162,291,326,2020,127
0201022,Aiken 01,J D Lever Elem,513,256,257,0,165,262,404,2020,86
0201024,Aiken 01,Clearwater Elem,398,175,223,0,129,117,342,2020,152
0201027,Aiken 01,East Aiken School of the Arts,587,299,288,0,266,247,421,2020,74
0201028,Aiken 01,Schofield Middle,584,288,296,0,351,148,470,2020,85
0201029,Aiken 01,Gloverville Elem,343,165,178,0,69,220,251,2020,54
0201030,Aiken 01,Greendale Elem,403,210,193,0,157,162,319,2020,84
0201031,Aiken 01,Hammond Hill Elem,730,328,402,0,120,451,376,2020,159
0201033,Aiken 01,Jackson STEM Magnet Middle,371,173,198,0,142,187,253,2020,42
0201035,Aiken 01,Millbrook Elem,577,262,315,0,207,271,362,2020,99
0201038,Aiken 01,North Aiken Elem/Pinecrest Annex,488,237,251,0,362,61,447,2020,65
0201039,Aiken 01,North Augusta Elem,663,320,343,0,226,294,374,2020,143
0201051,Aiken 01,Cyril B. Busbee Elementary,459,219,240,0,213,210,390,2020,36
0201052,Aiken 01,Warrenville Elem,358,176,182,0,54,225,250,2020,79
0201054,Aiken 01,Oakwood-Windsor Elem,423,192,231,0,88,204,356,2020,131
0201055,Aiken 01,Redcliffe Elem,719,362,357,0,290,336,524,2020,93
0201056,Aiken 01,Chukker Creek Elem,757,363,394,0,219,455,357,2020,83
0201058,Aiken 01,Mossy Creek Elem,664,306,358,0,240,288,458,2020,136
0201059,Aiken 01,Ridge Spring-Monetta Elementary,373,186,187,0,122,154,337,2020,97
0201060,Aiken 01,Ridge Spring Monetta High,255,117,138,0,98,102,194,2020,55
0201061,Aiken 01,Aiken Scholars Academy,90,60,30,0,11,68,23,2020,11
0201062,Aiken 01,Ridge Spring Monetta Middle,198,98,100,0,67,82,169,2020,49
0201063,Aiken 01,A. L. Corbett Middle,190,104,86,0,80,93,147,2020,17
0201066,Aiken 01,Graniteville Elementary,283,149,134,0,99,117,223,2020,67
0201067,Aiken 01,Aiken Intermediate,535,277,258,0,238,212,369,2020,85
0201601,Aiken 01,Lloyd/Kennedy Charter,66,25,41,0,51,10,53,2020,5
0201602,Aiken 01,Horse Creek Academy,552,262,290,0,96,393,285,2020,63
0301001,Allendale 01,Allendale Fairfax High,282,150,132,0,263,5,259,2020,14
0301004,Allendale 01,Allendale Elem,239,112,127,0,222,10,228,2020,7
0301006,Allendale 01,Fairfax Elem,304,153,151,0,285,10,296,2020,9
0301008,Allendale 01,Allendale-Fairfax Middle,264,135,129,0,246,8,255,2020,10
0401001,Anderson 01,Palmetto High,946,472,474,0,45,774,546,2020,127
0401002,Anderson 01,Powdersville High,891,430,461,0,64,693,321,2020,134
0401003,Anderson 01,Wren High,1054,496,558,0,64,899,388,2020,91
0401004,Anderson 01,Palmetto Elem,570,285,285,0,38,392,381,2020,140
0401005,Anderson 01,Cedar Grove Elem,625,303,322,0,29,503,440,2020,93
0401006,Anderson 01,Concrete Primary,751,380,371,0,65,544,379,2020,142
0401008,Anderson 01,Wren Middle,926,442,484,0,61,748,383,2020,117
0401009,Anderson 01,West Pelzer Elem,418,211,207,0,19,341,301,2020,58
0401011,Anderson 01,Spearman Elem,689,333,356,0,61,535,352,2020,93
0401012,Anderson 01,Palmetto Middle,819,395,424,0,45,640,523,2020,134
0401013,Anderson 01,Wren Elem,593,291,302,0,21,516,246,2020,56
0401014,Anderson 01,Hunt Meadows Elem,560,263,297,0,15,504,297,2020,41
0401061,Anderson 01,Powdersville Middle,742,367,375,0,76,546,342,2020,120
0401062,Anderson 01,Powdersville Elem,654,311,343,0,56,494,269,2020,104
0402012,Anderson 02,Belton Honea Path High,1059,531,528,0,149,831,554,2020,79
0402013,Anderson 02,Belton Elem,434,224,210,0,79,314,308,2020,41
0402014,Anderson 02,Belton Middle,535,282,253,0,95,384,351,2020,56
0402015,Anderson 02,Marshall Primary,495,258,237,0,71,352,383,2020,72
0402018,Anderson 02,Honea Path Elem,555,251,304,0,73,418,425,2020,64
0402019,Anderson 02,Honea Path Middle,363,175,188,0,39,290,236,2020,34
0402021,Anderson 02,Wright Elem,209,106,103,0,18,173,118,2020,18
0403022,Anderson 03,Crescent High,691,346,345,0,49,587,442,2020,55
0403024,Anderson 03,Iva Elem,391,200,191,0,33,321,317,2020,37
0403025,Anderson 03,Starr Iva Middle,612,305,307,0,58,503,445,2020,51
0403026,Anderson 03,Starr Elem,497,252,245,0,37,406,358,2020,54
0403027,Anderson 03,Flat Rock Elem.,400,199,201,0,34,313,324,2020,53
0404027,Anderson 04,Pendleton High,827,399,428,0,111,647,427,2020,69
0404029,Anderson 04,Riverside Middle,454,205,249,0,69,343,273,2020,42
0404031,Anderson 04,La France Elem,420,197,223,0,55,323,281,2020,42
0404034,Anderson 04,Pendleton Elem,381,186,195,0,129,190,310,2020,62
0404036,Anderson 04,Townville Elem,281,148,133,0,10,258,191,2020,13
0404037,Anderson 04,Mt Lebanon Elem,498,232,266,0,43,410,246,2020,45
0405038,Anderson 05,T L Hanna High,1793,912,881,0,472,1099,773,2020,222
0405040,Anderson 05,McCants Middle School,651,296,355,0,154,380,344,2020,117
0405044,Anderson 05,Centerville Elementary School,694,306,388,0,197,364,542,2020,133
0405045,Anderson 05,Concord Elem,573,282,291,0,90,379,270,2020,104
0405047,Anderson 05,Homeland Park Primary,465,235,230,0,221,97,435,2020,147
0405048,Anderson 05,Westside High,1638,767,871,0,618,757,1130,2020,263
0405050,Anderson 05,Nevitt Forest Elementary,506,259,247,0,348,89,469,2020,69
0405051,Anderson 05,New Prospect Elementary,486,235,251,0,211,175,425,2020,100
0405055,Anderson 05,Varennes Elementary,341,156,185,0,162,90,317,2020,89
0405059,Anderson 05,Whitehall Elem,506,238,268,0,216,186,444,2020,104
0405060,Anderson 05,Calhoun Academy Of The Arts,554,283,271,0,251,206,407,2020,97
0405061,Anderson 05,Midway Elementary,757,369,388,0,100,540,290,2020,117
0405062,Anderson 05,McLees Elementary,630,338,292,0,130,408,462,2020,92
0405063,Anderson 05,Robert Anderson Middle,1320,605,715,0,515,539,1079,2020,266
0405064,Anderson 05,Glenview Middle,784,357,427,0,260,400,432,2020,124
0405065,Anderson 05,Southwood Academy of the Arts,367,258,109,0,76,241,204,2020,50
0405066,Anderson 05,North Pointe Elem,611,289,322,0,103,401,286,2020,107
0405601,Anderson 05,Anderson Five Charter,73,44,29,0,6,61,38,2020,6
0405800,Anderson 05,West Market School of Early Ed.,207,93,114,0,72,88,196,2020,47
0405801,Anderson 05,South Fant School of Early Ed.,174,78,96,0,108,30,165,2020,36
0501001,Bamberg 01,Bamberg Ehrhardt High,365,181,184,0,203,149,250,2020,13
0501002,Bamberg 01,Bamberg-Ehrhardt Middle,185,90,95,0,109,66,146,2020,10
0501006,Bamberg 01,Richard Carroll Elem.,686,349,337,0,376,274,564,2020,36
0502007,Bamberg 02,Denmark Olar High,158,87,71,0,150,2,139,2020,6
0502008,Bamberg 02,Denmark-Olar Middle,144,73,71,0,139,3,136,2020,2
0502010,Bamberg 02,Denmark-Olar Elem,343,168,175,0,330,7,332,2020,6
0619001,Barnwell 19,Blackville-Hilda High,173,79,94,0,140,23,154,2020,10
0619003,Barnwell 19,Macedonia Elementary-Middle,420,216,204,0,331,61,391,2020,28
0629006,Barnwell 29,Williston Elko High,231,113,118,0,125,85,168,2020,21
0629007,Barnwell 29,Kelly Edwards Elem,390,202,188,0,216,141,323,2020,33
0629008,Barnwell 29,Williston Elko Middle,195,89,106,0,115,68,143,2020,12
0645009,Barnwell 45,Barnwell High,577,288,289,0,269,256,397,2020,52
0645010,Barnwell 45,Guinyard-Butler Middle,305,157,148,0,164,111,229,2020,29
0645011,Barnwell 45,Barnwell Primary,758,361,397,0,338,333,630,2020,87
0645012,Barnwell 45,Barnwell Elem,462,228,234,0,221,194,366,2020,47
0701001,Beaufort 01,Lady's Island Middle,552,254,298,0,298,168,372,2020,86
0701002,Beaufort 01,Beaufort High,1238,592,646,0,433,599,616,2020,206
0701003,Beaufort 01,Hilton Head Is. High,1285,645,640,0,116,637,560,2020,532
0701004,Beaufort 01,Battery Creek High,727,360,367,0,342,212,484,2020,173
0701008,Beaufort 01,Beaufort Elem,471,206,265,0,263,134,371,2020,74
0701009,Beaufort 01,Hilton Head Is. Middle,956,462,494,0,115,330,567,2020,511
0701010,Beaufort 01,Broad River Elem,498,248,250,0,198,129,320,2020,171
0701014,Beaufort 01,Ladys Island Elem,267,138,129,0,141,64,205,2020,62
0701015,Beaufort 01,Mossy Oaks Elem,382,165,217,0,162,147,289,2020,73
0701016,Beaufort 01,Port Royal Elem,209,110,99,0,74,82,161,2020,53
0701017,Beaufort 01,Michael C. Riley Elem,755,375,380,0,76,196,543,2020,483
0701020,Beaufort 01,St Helena Elem,350,179,171,0,273,17,326,2020,60
0701022,Beaufort 01,Joseph S Shanklin Elem,390,195,195,0,205,38,341,2020,147
0701023,Beaufort 01,Whale Branch Elem,458,208,250,0,350,37,432,2020,71
0701024,Beaufort 01,Bluffton Elem,787,358,429,0,68,322,434,2020,397
0701025,Beaufort 01,Coosa Elem,504,241,263,0,82,346,193,2020,76
0701026,Beaufort 01,H. E. McCracken Middle,908,428,480,0,106,445,400,2020,357
0701027,Beaufort 01,Whale Branch Middle,352,178,174,0,290,18,321,2020,44
0701028,Beaufort 01,Beaufort Middle,504,247,257,0,230,192,341,2020,82
0701029,Beaufort 01,Okatie Elem,613,302,311,0,69,386,252,2020,158
0701030,Beaufort 01,Bluffton High,1170,568,602,0,135,420,555,2020,615
0701031,Beaufort 01,Hilton Head Is. Early Childhood,376,178,198,0,44,104,265,2020,228
0701032,Beaufort 01,Hilton Head Is. Ele. School for Creativ,646,330,316,0,116,226,404,2020,304
0701033,Beaufort 01,Hilton Head Is. Elem,845,404,441,0,76,286,483,2020,483
0701034,Beaufort 01,Red Cedar Elementary,706,350,356,0,85,269,419,2020,352
0701035,Beaufort 01,Bluffton Middle,861,408,453,0,104,312,513,2020,445
0701036,Beaufort 01,Whale Branch Early College Hig,432,222,210,0,344,35,329,2020,53
0701037,Beaufort 01,Pritchardville Elem,958,438,520,0,73,583,379,2020,302
0701038,Beaufort 01,River Ridge Academy,1211,571,640,0,134,686,505,2020,391
0701039,Beaufort 01,May River High,1414,694,720,0,178,814,527,2020,422
0701040,Beaufort 01,Robert Smalls International Academy,741,374,367,0,346,155,594,2020,240
0701601,Beaufort 01,Riverview Charter School,692,329,363,0,166,375,274,2020,151
0801001,Berkeley 01,Stratford High,2061,981,1080,0,526,957,1133,2020,578
0801002,Berkeley 01,Berkeley High,1697,839,858,0,633,834,957,2020,230
0801006,Berkeley 01,Cross High,293,144,149,0,203,70,251,2020,20
0801007,Berkeley 01,Goose Creek High,1792,913,879,0,703,573,1070,2020,516
0801008,Berkeley 01,Hanahan High,928,426,502,0,123,526,415,2020,279
0801011,Berkeley 01,Berkeley Elem,629,317,312,0,222,317,486,2020,90
0801012,Berkeley 01,Berkeley Middle,1368,673,695,0,552,636,847,2020,180
0801014,Berkeley 01,Boulder Bluff Elem,720,337,383,0,285,237,527,2020,198
0801015,Berkeley 01,Cainhoy Elem Middle,183,83,100,0,152,13,169,2020,18
0801016,Berkeley 01,Cross Elem,343,159,184,0,228,85,311,2020,30
0801017,Berkeley 01,College Park Elem,921,450,471,0,202,306,713,2020,413
0801020,Berkeley 01,J K Gourdin Elem,117,60,57,0,112,1,105,2020,4
0801021,Berkeley 01,Hanahan Middle,833,406,427,0,112,436,413,2020,285
0801022,Berkeley 01,Westview Middle,874,420,454,0,185,451,460,2020,238
0801023,Berkeley 01,Sangaree Elem,655,331,324,0,180,298,490,2020,177
0801024,Berkeley 01,Henry E Bonner Elem,715,355,360,0,122,533,527,2020,60
0801027,Berkeley 01,Sedgefield Middle,1038,478,560,0,425,265,745,2020,348
0801028,Berkeley 01,St Stephen Elem,373,191,182,0,259,78,329,2020,36
0801029,Berkeley 01,St Stephen Middle,205,99,106,0,142,55,183,2020,8
0801030,Berkeley 01,Whitesville Elem,919,449,470,0,342,423,641,2020,154
0801031,Berkeley 01,Westview Elem,549,271,278,0,80,313,292,2020,156
0801032,Berkeley 01,College Park Middle,808,362,446,0,263,249,614,2020,296
0801033,Berkeley 01,Marrington Elementary School,521,248,273,0,81,328,54,2020,112
0801034,Berkeley 01,Marrington Middle School Arts,420,245,175,0,80,268,109,2020,72
0801036,Berkeley 01,Howe Hall AIMS Elem,411,221,190,0,43,293,101,2020,75
0801037,Berkeley 01,Macedonia Middle,390,185,205,0,88,283,248,2020,19
0801038,Berkeley 01,Sangaree Intermed,623,318,305,0,178,297,433,2020,148
0801039,Berkeley 01,Devon Forest Elem,1018,494,524,0,377,352,754,2020,289
0801040,Berkeley 01,Mount Holly Elementary,552,272,280,0,187,159,394,2020,206
0801041,Berkeley 01,Berkeley Intermed,692,342,350,0,289,336,497,2020,67
0801043,Berkeley 01,Timberland High,574,268,306,0,299,246,417,2020,29
0801044,Berkeley 01,Hanahan Elem,1178,545,633,0,267,444,818,2020,467
0801045,Berkeley 01,Westview Primary,740,345,395,0,215,320,475,2020,205
0801046,Berkeley 01,Goose Creek Elementary,986,480,506,0,327,183,753,2020,476
0801047,Berkeley 01,Sangaree Middle,821,407,414,0,251,373,534,2020,197
0801048,Berkeley 01,Daniel Island School,1203,563,640,0,40,1063,120,2020,100
0801049,Berkeley 01,Cane Bay High,1961,949,1012,0,465,1096,816,2020,400
0801050,Berkeley 01,Cane Bay Elementary,1279,629,650,0,142,869,447,2020,268
0801051,Berkeley 01,Berkeley County Middle College,103,64,39,0,18,64,38,2020,21
0801052,Berkeley 01,Cane Bay Middle,1399,679,720,0,244,879,525,2020,276
0801053,Berkeley 01,Nexton Elementary,919,448,471,0,221,510,505,2020,188
0801054,Berkeley 01,Phillip Simmons Elementary,458,215,243,0,75,327,157,2020,56
0801055,Berkeley 01,Phillip Simmons Middle,402,198,204,0,143,212,192,2020,47
0801056,Berkeley 01,Philip Simmons High,530,247,283,0,171,309,185,2020,50
0801057,Berkeley 01,Bowen's Corner Elementary,755,384,371,0,80,470,289,2020,205
0801058,Berkeley 01,Foxbank Elementary,957,451,506,0,199,556,512,2020,202
0901001,Calhoun 01,Calhoun County High,409,203,206,0,269,105,313,2020,35
0901008,Calhoun 01,Sandy Run School,634,297,337,0,200,390,449,2020,44
0901009,Calhoun 01,St Matthews K-8 School,645,316,329,0,467,107,569,2020,71
1001001,Charleston 01,Baptist Hill High,546,256,290,0,420,32,488,2020,94
1001002,Charleston 01,N Charleston High,661,325,336,0,512,45,592,2020,104
1001008,Charleston 01,Garrett Academy of Tech,138,81,57,0,123,6,125,2020,9
1001010,Charleston 01,Burke High,368,190,178,0,356,5,347,2020,7
1001014,Charleston 01,Wando High,3818,1837,1981,0,377,3122,718,2020,319
1001018,Charleston 01,Military Magnet Academy,420,171,249,0,276,14,362,2020,130
1001020,Charleston 01,St Johns High,332,145,187,0,178,56,264,2020,98
1001022,Charleston 01,R B Stall High,1622,773,849,0,800,157,1238,2020,665
1001030,Charleston 01,Northwoods Middle,868,421,447,0,505,55,741,2020,308
1001033,Charleston 01,Chicora Elem,329,176,153,0,292,7,316,2020,30
1001036,Charleston 01,A C Corcoran Elem,784,385,399,0,505,122,632,2020,157
1001038,Charleston 01,Edmund A Burns Elem,90,42,48,0,80,3,86,2020,7
1001039,Charleston 01,Jane Edwards Elem,66,44,22,0,41,19,61,2020,6
1001040,Charleston 01,Mary Ford Elem,276,145,131,0,259,8,268,2020,9
1001042,Charleston 01,W B Goodwin Elem,472,218,254,0,248,22,405,2020,202
1001043,Charleston 01,Harbor View Elem,700,334,366,0,102,544,263,2020,54
1001044,Charleston 01,Haut Gap Middle,526,262,264,0,159,224,322,2020,143
1001045,Charleston 01,Minnie Hughes Elem,193,95,98,0,170,11,177,2020,12
1001046,Charleston 01,Hunley Park Elem,452,206,246,0,248,72,351,2020,132
1001050,Charleston 01,Ladson Elem,892,432,460,0,421,184,684,2020,287
